POS,PLAYER,SCHOOL,ATH,SIZE,SPEED,ACC,AGI,PROD
ED,Rueben Bain Jr.,Miami,62.2,36.9,31.6,89.7,—,87.8
ED,David Bailey,Texas Tech,81.3,55.6,81.6,78.7,—,96.1
ED,Keldric Faulk,Auburn,70.4,86.5,55.1,49.2,—,53.7
ED,Malachi Lawrence,UCF,90.4,63.7,91.8,89.4,—,44.3
ED,R Mason Thomas,Oklahoma,44.8,20.6,70.9,80.3,34.4,53.5
ED,Zion Young,Missouri,34.7,69.6,38.1,32.8,—,74
ED,T.J. Parker,Clemson,71.3,55.3,67.9,70.4,—,57.5
ED,Akheem Mesidor,Miami,66.8,45.3,59.8,76,—,82.4
ED,Cashius Howell,Texas A&M,50.5,20.9,79.8,69.2,—,63.8
ED,Gabe Jacas,Illinois,73.6,53.1,65.1,76.6,—,52.4
ED,Jaishawn Barham,Michigan,56.9,45.8,71.5,59,—,43.4
ED,Derrick Moore,Michigan,60.4,60.8,66.5,52.9,—,69.2
ED,Dani Dennis-Sutton,Penn State,87.1,72.1,74,80.7,—,67.1
ED,Keyron Crawford,Auburn,82.7,40.7,85.8,91.5,—,56.5
ED,Romello Height,Texas Tech,52,38.4,70.8,62.7,—,57.8
ED,Anthony Lucas,USC,68.2,64.2,74.9,73.5,—,47.2
ED,Joshua Josephs,Tennessee,57.8,62.4,63.2,58.1,—,51.3
ED,Max Llewellyn,Iowa,45.8,83.5,32.1,48.2,—,74.3
ED,LT Overton,Alabama,79.3,45.1,73.3,71.6,42.4,60.2
ED,Keyshawn James-Newby,New Mexico,46.2,30.1,66.8,52.4,—,38.7
ED,Jack Pyburn,LSU,34.1,72.3,41.2,38.8,—,29.4
ED,Nadame Tucker,Western Michigan,48.7,58.2,44.1,51.3,—,42.1
ED,Mason Reiger,Wisconsin,36.2,74.1,29.8,44.6,—,31.5
ED,Tyre West,Tennessee,59.4,82.6,48.3,57.2,—,35.8
ED,Caden Curry,Ohio State,71.8,47.3,62.4,68.9,—,28.3
ED,Quintayvious Hutchins,Boston College,43.5,55.7,38.2,46.1,—,22.7
ED,Tyreak Sapp,Florida,67.3,40.8,71.5,64.2,—,19.4
ED,Vincent Anthony Jr.,Duke,78.4,32.6,84.3,72.1,—,14.8
ED,Ethan Burke,Texas,54.6,44.1,61.7,58.3,—,12.6
ED,Braden Siders,West Virginia,50.3,8.6,92.4,73.4,—,21.8
ED,Sabastian Harsh,NC State,29.9,30.4,76.7,39.6,48.7,35.2
ED,Nathan Voorhis,Ball State,27.9,42.5,49.5,54.5,27.7,48.3
ED,Jimmori Robinson,West Virginia,22.8,70.6,28.7,37.4,22.4,6.6
ED,Corey Walker,Wisconsin,13,60.2,8.8,34.8,26.1,—
ED,Kam Olds,Kentucky,56.3,37.9,68.2,66.4,—,—
ED,Devean Deal,TCU,41.3,43.8,59.4,50.7,—,52.9
ED,Arden Walker,Colorado,37.5,37.2,51.2,44.6,63.3,62.6
ED,Jimari Butler,LSU,37.2,34.5,40.8,45.4,70.7,19.8
ED,Junior Tuihalamaka,Notre Dame,13.4,21.6,67.5,44.1,22.4,14.2
ED,Cameron Whitfield,Louisiana,18.4,51.9,41.1,27.8,—,0.3
ED,Malick Sylla,Mississippi State,10.5,83,24.8,22.5,0.4,26.4
ED,Tyce Westland,Wyoming,64.7,24.7,85.2,65.1,78.8,19.2