RANK,PLAYER,WINS,OVERALL_POWER,OVERALL_SPEED,OVERALL_INSIDE,POWER_BULL,POWER_LONG-ARM,POWER_PWR-SPEED,INSIDE_INSIDE,INSIDE_SPIN,INSIDE_HUMP,SPEED_SPEED-RIP,SPEED_GHOST,SPEED_STAB-CHOP,SPEED_SWIPE(1),SPEED_SWIPE(2)
1,Zion Young,69,55.10%,30.40%,14.50%,29.00%,10.10%,18.80%,7.20%,1.40%,7.20%,4.30%,2.90%,2.90%,4.30%,2.90%
2,Malachi Bailey,11,54.50%,27.30%,18.20%,9.10%,27.30%,18.20%,18.20%,0.00%,0.00%,0.00%,9.10%,0.00%,9.10%,0.00%
3,T.J. Parker,72,50.00%,37.50%,12.50%,11.10%,29.20%,11.10%,8.30%,0.00%,5.60%,1.40%,1.40%,5.60%,6.90%,2.80%
4,Derrick Moore,68,42.60%,36.80%,20.60%,25.00%,14.70%,2.90%,17.60%,0.00%,2.90%,8.80%,5.90%,0.00%,2.90%,2.90%
5,Keyshawn James-Newby,49,40.80%,49.00%,10.20%,26.50%,10.20%,4.10%,6.10%,2.00%,2.00%,24.50%,4.10%,0.00%,0.00%,0.00%
6,Keldric Faulk,73,39.70%,42.50%,17.80%,19.20%,13.70%,8.20%,15.10%,1.40%,1.40%,4.10%,4.10%,1.40%,8.20%,2.70%
7,Tyreak Sapp,33,39.40%,33.30%,27.30%,33.30%,0.00%,6.10%,21.20%,0.00%,6.10%,9.10%,3.00%,0.00%,6.10%,0.00%
8,Gabe Jacas,70,38.60%,42.90%,18.60%,22.90%,10.00%,7.10%,12.90%,1.40%,4.30%,7.10%,1.40%,15.70%,5.70%,2.90%
9,LT Overton,52,38.50%,36.50%,25.00%,30.80%,0.00%,5.80%,19.20%,0.00%,7.70%,5.80%,0.00%,1.90%,5.80%,1.90%
10,Caden Curry,14,35.70%,42.90%,21.40%,21.40%,7.10%,7.10%,21.40%,0.00%,0.00%,14.30%,0.00%,0.00%,14.30%,0.00%
11,Khordae Sydnor,38,34.20%,36.80%,28.90%,10.50%,15.80%,10.50%,18.40%,10.50%,0.00%,2.60%,2.60%,7.90%,2.60%,0.00%
12,Jaishawn Barham,23,30.40%,52.20%,17.40%,17.40%,8.70%,4.30%,17.40%,0.00%,0.00%,17.40%,8.70%,0.00%,4.30%,0.00%
13,Dani Dennis-Sutton,61,29.50%,49.20%,21.30%,13.10%,11.50%,4.90%,11.50%,8.20%,1.60%,4.90%,13.10%,4.90%,1.60%,4.90%
14,Anthony Lucas,52,28.80%,53.80%,17.30%,11.50%,11.50%,7.70%,9.60%,7.70%,0.00%,1.90%,5.80%,3.80%,1.90%,11.50%
15,Wesley Williams,38,26.30%,50.00%,23.70%,7.90%,7.90%,7.90%,15.80%,0.00%,10.50%,7.90%,0.00%,13.20%,0.00%,13.20%
16,Rueben Bain Jr.,168,25.60%,53.00%,21.40%,11.90%,8.30%,4.80%,13.70%,0.60%,8.90%,7.10%,3.60%,0.60%,3.60%,0.60%
17,Malachi Lawrence,55,25.50%,61.80%,12.70%,5.50%,10.90%,10.90%,7.30%,1.80%,3.60%,3.60%,1.80%,5.50%,1.80%,5.50%
18,R Mason Thomas,48,25.00%,62.50%,12.50%,16.70%,4.20%,4.20%,12.50%,0.00%,0.00%,12.50%,16.70%,10.40%,10.40%,10.40%
19,Vincent Anthony Jr.,41,22.00%,68.30%,9.80%,7.30%,12.20%,2.40%,7.30%,0.00%,2.40%,7.30%,26.80%,0.00%,0.00%,17.10%
20,Max Llewellyn,74,21.60%,29.70%,48.60%,0.00%,18.90%,2.70%,9.50%,36.50%,2.70%,1.40%,6.80%,2.70%,4.10%,6.80%
21,David Bailey,95,21.10%,52.60%,26.30%,8.40%,8.40%,5.30%,9.50%,15.80%,1.10%,7.40%,26.30%,1.10%,2.10%,2.10%
22,Michael Heldman,89,20.20%,55.10%,24.70%,9.00%,4.50%,9.00%,18.00%,5.60%,1.10%,7.90%,9.00%,0.00%,2.20%,0.00%
23,Mikail Kamara,76,19.70%,42.10%,38.20%,15.80%,0.00%,5.30%,31.60%,5.30%,1.30%,0.00%,3.90%,6.60%,6.60%,13.20%
24,Joshua Josephs,54,18.50%,66.70%,14.80%,11.10%,3.70%,3.70%,13.00%,1.90%,0.00%,9.30%,3.70%,3.70%,0.00%,0.00%
25,Akheem Mesidor,73,17.80%,49.30%,32.90%,12.30%,2.70%,2.70%,26.00%,2.70%,4.10%,1.40%,2.70%,1.40%,4.10%,24.70%
26,Keyron Crawford,37,16.20%,64.90%,18.90%,8.10%,5.40%,2.70%,16.20%,2.70%,0.00%,5.40%,8.10%,18.90%,5.40%,13.50%
27,Quintayvious Hutchins,26,15.40%,65.40%,19.20%,0.00%,15.40%,0.00%,15.40%,0.00%,3.80%,19.20%,0.00%,0.00%,34.60%,3.80%
28,Nadame Tucker,89,14.60%,52.80%,32.60%,6.70%,3.40%,5.60%,32.60%,0.00%,0.00%,0.00%,4.50%,2.20%,12.40%,21.30%
29,Mason Reiger,25,12.00%,48.00%,40.00%,4.00%,0.00%,8.00%,32.00%,4.00%,4.00%,0.00%,8.00%,4.00%,12.00%,4.00%
30,Cashius Howell,77,11.70%,46.80%,41.60%,6.50%,5.20%,0.00%,22.10%,15.60%,3.90%,2.60%,22.10%,0.00%,0.00%,0.00%
31,Romello Height,78,11.50%,52.60%,35.90%,2.60%,7.70%,1.30%,16.70%,19.20%,0.00%,3.80%,15.40%,3.80%,7.70%,15.40%
32,Bryan Thomas Jr.,26,0.00%,76.90%,23.10%,0.00%,0.00%,0.00%,11.50%,7.70%,3.80%,23.10%,34.60%,0.00%,3.80%,0.00%