normalized_name,display_name,pos,school,in_ras,in_jfoster,ras_score,jfoster_rank,season_id
lander barton,Lander Barton,LB,Utah,1,1,,176,1
landon robinson,Landon Robinson,DT,Navy,1,1,,?,1
langston patterson,Langston Patterson,LB,Vanderbilt,0,1,,?,1
lardarius webb jr.,Lardarius Webb Jr.,CB,Wake Forest,0,1,,?,1
laterrance welch,Laterrance Welch,CB,UNLV,1,0,,,1
latrell mccutchin sr.,Latrell McCutchin Sr.,CB,Houston,1,1,9.7,?,1
le'meke brockington,Le'Meke Brockington,WR,Minnesota,1,0,,,1
le'veon moss,Le'Veon Moss,RB,Texas A&M,1,1,,220,1
lee hunter,Lee Hunter,DT,Texas Tech,1,1,3.72,32,1
leon lowery,Leon Lowery,ED,Illinois,1,0,,,1
leshon williams,Leshon Williams,RB,Kansas,1,0,,,1
lewis bond,Lewis Bond,WR,Boston College,1,1,,?,1
liam becher,Liam Becher,G,North Dakota,0,1,,?,1
lincoln pare,Lincoln Pare,HB,Texas State,0,1,,?,1
lj johnson jr.,LJ Johnson Jr.,HB,California,0,1,,?,1
logan diggs,Logan Diggs,RB,Ole Miss,1,1,,?,1
logan fano,Logan Fano,DE,Utah,1,1,,?,1
logan jones,Logan Jones,OC,Iowa,1,1,9.66,95,1
logan kopp,Logan Kopp,LB,North Dakota State,1,0,,,1
logan loya,Logan Loya,WR,Minnesota,1,0,,,1
logan parr,Logan Parr,G,SMU,0,1,,?,1
logan taylor,Logan Taylor,OG,Boston College,1,1,9.28,166,1
lorenzo styles jr.,Lorenzo Styles Jr.,CB,Ohio State,1,1,9.96,?,1
louis brown iv,Louis Brown IV,WR,Baylor,0,1,,?,1
louis moore,Louis Moore,FS,Indiana,1,1,,137,1
lt overton,LT Overton,DE,Alabama,1,1,,132,1
luke altmyer,Luke Altmyer,QB,Illinois,1,1,7.05,214,1
luke petitbon,Luke Petitbon,OC,Florida State,1,1,,?,1
mac harris,Mac Harris,LB,South Florida,0,1,,?,1
makai lemon,Makai Lemon,WR,Southern California,1,1,,9,1
malachi bailey,Malachi Bailey,ED,Arizona,1,1,,292,1
malachi fields,Malachi Fields,WR,Notre Dame,1,1,7.5,77,1
malachi lawrence,Malachi Lawrence,DE,Central Florida,1,1,9.9,49,1
malcolm reed,Malcolm Reed,S,NC Central,1,0,,,1
malcom dewalt iv,Malcom DeWalt IV,CB,Akron,0,1,,?,1
malick sylla,Malick Sylla,ED,Mississippi State,0,1,,?,1
malik benson,Malik Benson,WR,Oregon,1,1,7.73,?,1
malik muhammad,Malik Muhammad,CB,Texas,1,1,9.45,198,1
malik rutherford,Malik Rutherford,WR,Georgia Tech,0,1,,?,1
malik spencer,Malik Spencer,S,Michigan State,1,1,,?,1
mansoor delane,Mansoor Delane,CB,Louisiana State,1,1,,14,1
marcellus marshall,Marcellus Marshall,G,Minnesota,0,1,,?,1
marcus allen,Marcus Allen,CB,North Carolina,1,1,8.91,?,1
mark gronowski,Mark Gronowski,QB,Iowa,1,1,,?,1
mark petry,Mark Petry,G,Syracuse,0,1,,?,1
markel bell,Markel Bell,OT,Miami,1,1,,153,1
marlin klein,Marlin Klein,TE,Michigan,1,1,9,?,1
marques watson-trent,Marques Watson-Trent,LB,Nebraska,1,0,,,1
marvin jones jr.,Marvin Jones Jr.,DE,Oklahoma,1,1,,289,1
mason murphy,Mason Murphy,OT,Auburn,0,1,,?,1
mason randolph,Mason Randolph,OC,Boise State,0,1,,?,1
mason reiger,Mason Reiger,DE,Wisconsin,1,1,9.53,?,1
matt gulbin,Matt Gulbin,OC,Michigan State,1,1,,60,1
matt lauter,Matt Lauter,TE,Boise State,1,1,,?,1
matt rose,Matt Rose,LB,Stanford,0,1,,?,1
matthew bedford,Matthew Bedford,OG,Oregon,1,0,,,1
matthew henry,Matthew Henry,WR,Western Kentucky,0,1,,?,1
matthew hibner,Matthew Hibner,TE,Southern Methodist,1,1,9.75,?,1
matthew mcdoom,Matthew McDoom,CB,Cincinnati,1,0,,,1
maurice westmoreland,Maurice Westmoreland,ED,Tulane,1,1,,?,1
maverick mcivor,Maverick McIvor,QB,Western Kentucky,1,1,,?,1
max bredeson,Max Bredeson,RB,Michigan,1,1,,?,1
max iheanachor,Max Iheanachor,OT,Arizona State,1,1,9.87,37,1
max klare,Max Klare,TE,Ohio State,1,1,,65,1
max llewellyn,Max Llewellyn,DE,Iowa,1,1,7.73,147,1
max tomczak,Max Tomczak,WR,Youngstown State,0,1,,?,1
melvin priestly,Melvin Priestly,G,Illinois,0,1,,288,1
micah davey,Micah Davey,LB,UTEP,0,1,,?,1
micah morris,Micah Morris,OG,Georgia,1,1,,271,1
micah pettus,Micah Pettus,OT,Florida State,1,1,,?,1
michael coats jr.,Michael Coats Jr.,CB,West Virginia,1,0,,,1
michael heldman,Michael Heldman,ED,Central Michigan,0,1,,265,1
michael kilbane,Michael Kilbane,ED,Northwestern,0,1,,?,1
michael mokofisi,Michael Mokofisi,OG,Utah,1,1,,279,1
michael taaffe,Michael Taaffe,FS,Texas,1,1,,?,1
michael trigg,Michael Trigg,TE,Baylor,1,1,,91,1
michael wortham,Michael Wortham,WR,Montana,0,1,,?,1
michah morris,Michah Morris,OG,Georgia,1,0,9.97,,1
mikail kamara,Mikail Kamara,ED,Indiana,1,1,,258,1
mike washington jr.,Mike Washington Jr.,RB,Arkansas,1,1,10,86,1
miles kitselman,Miles Kitselman,TE,Tennessee,1,1,5.84,?,1
miles scott,Miles Scott,CB,Illinois,1,1,,?,1
miller moss,Miller Moss,QB,Louisville,1,1,,273,1
monkell goodwine,Monkell Goodwine,DL,South Carolina,0,1,,283,1
monroe freeling,Monroe Freeling,OT,Georgia,1,1,9.99,15,1
montavious cunningham,Montavious Cunningham,OG,Virginia Tech,1,1,,?,1
myles rowser,Myles Rowser,S,Arizona State,1,1,,?,1
nadame tucker,Nadame Tucker,DE,Western Michigan,1,1,6.82,195,1
nakhi johnson,Nakhi Johnson,DT,Tulsa,1,0,,,1
namdi obiazor,Namdi Obiazor,LB,Texas Christian,1,1,9.12,?,1
nasir bowers,Nasir Bowers,CB,Toledo,1,1,,?,1
nate boerkircher,Nate Boerkircher,TE,Texas A&M,1,1,,?,1
nate pabst,Nate Pabst,OT,Bowling Green,0,1,,?,1
nathan voorhis,Nathan Voorhis,ED,Ball State,0,1,,?,1
nicholas singleton,Nicholas Singleton,RB,Penn State,1,1,,206,1
nick andersen,Nick Andersen,S,Wake Forest,0,1,,?,1
nick barrett,Nick Barrett,DT,South Carolina,1,1,7.85,135,1
nick dawkins,Nick Dawkins,OC,Penn State,0,1,,?,1
nikhai hill-green,Nikhai Hill-Green,LB,Alabama,1,0,,,1
noah avinger,Noah Avinger,CB,Utah State,1,0,,,1
noah josey,Noah Josey,G,Virginia,0,1,,?,1
noah miles,Noah Miles,ED,Howard,1,0,,,1
noah short,Noah Short,HB,Army,0,1,,?,1
noah thomas,Noah Thomas,WR,Georgia,1,1,,217,1
noah whittington,Noah Whittington,RB,Oregon,1,1,,?,1
nolan rucci,Nolan Rucci,OT,Penn State,1,1,,?,1
nyjalik kelly,Nyjalik Kelly,DE,Central Florida,1,1,7.62,?,1
nyland green,Nyland Green,CB,Arizona State,1,0,,,1
nyzier fourqurean,Nyzier Fourqurean,CB,Wisconsin,1,0,,,1
o'mega blake,O'Mega Blake,WR,Arkansas,1,1,,?,1
octavian smith jr.,Octavian Smith Jr.,WR,Maryland,0,1,,?,1
olaivavega ioane,Olaivavega Ioane,OG,Penn State,1,1,,13,1
omar aigbedion,Omar Aigbedion,G,Baylor,0,1,,?,1
omar cooper jr.,Omar Cooper Jr.,WR,Indiana,1,1,8.7,28,1
omari kelly,Omari Kelly,WR,Michigan State,1,1,,?,1
oscar delp,Oscar Delp,TE,Georgia,1,1,,115,1
owen heinecke,Owen Heinecke,LB,Oklahoma,1,1,7.86,250,1
parker brailsford,Parker Brailsford,OC,Alabama,1,1,8.47,197,1
pat coogan,Pat Coogan,OC,Indiana,1,1,,159,1
patrick kutas,Patrick Kutas,OG,Ole Miss,1,0,,,1
patrick payton,Patrick Payton,DE,Louisiana State,1,1,,267,1
paul brott,Paul Brott,DL,Montana State,0,1,,?,1
paul rubelt,Paul Rubelt,OT,UCF,0,1,,?,1
payton zdroik,Payton Zdroik,DL,Air Force,0,1,,?,1
percy lewis,Percy Lewis,OT,Ole Miss,1,0,,,1
pete nygra,Pete Nygra,OC,Louisville,0,1,,?,1
peter woods,Peter Woods,DT,Clemson,1,1,,26,1
phillip dunnam,Phillip Dunnam,S,UCF,1,1,,?,1
preston hodge,Preston Hodge,CB,Colorado,1,1,,?,1
preston stone,Preston Stone,QB,Northwestern,1,1,,?,1
pryce yates,Pryce Yates,ED,North Carolina,1,1,,?,1
quintayvious hutchins,Quintayvious Hutchins,DE,Boston College,1,1,5.49,?,1
quinten christensen,Quinten Christensen,G,South Dakota State,0,1,,?,1
r mason thomas,R Mason Thomas,DE,Oklahoma,1,1,,43,1
rahsul faison,Rahsul Faison,RB,South Carolina,1,1,,?,1
rahtrel perry,Rahtrel Perry,OT,Maryland,1,0,,,1
rara thomas,Rara Thomas,WR,Troy,0,1,,?,1
rashad battle,Rashad Battle,CB,Pittsburgh,1,1,,?,1
rasheed miller,Rasheed Miller,OT,Louisville,0,1,,?,1
rashod dubinion,Rashod Dubinion,HB,Appalachian State,0,1,,?,1
rayshaun benny,Rayshaun Benny,DT,Michigan,1,1,,?,1
red murdock,Red Murdock,LB,Buffalo,1,1,,148,1
reggie virgil,Reggie Virgil,WR,Texas Tech,1,1,7.78,?,1
rene konga,Rene Konga,DT,Louisville,1,1,,202,1
reuben fatheree ii,Reuben Fatheree II,OT,Texas A&M,0,1,,?,1
rex connors,Rex Connors,S,UC Davis,0,1,,?,1
ricardo hallman,Ricardo Hallman,CB,Wisconsin,1,1,,?,1
richie leonard iv,Richie Leonard IV,OG,Florida State,1,0,,,1
riley mahlman,Riley Mahlman,OT,Wisconsin,1,1,,?,1
riley nowakowski,Riley Nowakowski,TE,Indiana,1,1,7.96,180,1
rj maryland,RJ Maryland,TE,Southern Methodist,1,1,8.58,268,1
robert henry jr.,Robert Henry Jr.,RB,UTSA,1,1,6.81,?,1
robert spears-jennings,Robert Spears-Jennings,SS,Oklahoma,1,1,9.3,273,1
rocco spindler,Rocco Spindler,G,Nebraska,0,1,,?,1
rohan jones,Rohan Jones,TE,Arkansas,0,1,,244,1
roman hemby,Roman Hemby,RB,Indiana,1,1,,260,1
romello brinson,Romello Brinson,WR,SMU,1,1,,171,1
romello height,Romello Height,DE,Texas Tech,1,1,8.92,67,1
roy williams,Roy Williams,ED,Northern Illinois,1,1,,?,1
roydell williams,Roydell Williams,HB,Florida State,0,1,,?,1
rueben bain jr.,Rueben Bain jr.,DE,Miami,1,1,,5,1
ryan davis,Ryan Davis,WR,Utah,0,1,,?,1
ryan eckley,Ryan Eckley,PK,Michigan State,1,0,,,1
ryan lengyel,Ryan Lengyel,OG,Baylor,1,1,,?,1
ryan linthicum,Ryan Linthicum,OC,Clemson,1,1,,?,1
ryan mosesso,Ryan Mosesso,G,UMass,0,1,,?,1
sabastian harsh,Sabastian Harsh,ED,NC State,0,1,,?,1
sam brumfield,Sam Brumfield,LB,Memphis,0,1,,?,1
sam hagen,Sam Hagen,OT,South Dakota State,0,1,,?,1
sam hecht,Sam Hecht,OC,Kansas State,1,1,8.13,70,1
sam phillips,Sam Phillips,WR,Iowa,0,1,,?,1
sam roush,Sam Roush,TE,Stanford,1,1,9.94,?,1
samson okunlola,Samson Okunlola,G,Miami,0,1,,?,1
sawyer robertson,Sawyer Robertson,QB,Baylor,1,1,9.78,224,1
scooby williams,Scooby Williams,LB,Texas A&M,1,1,,?,1
sean brown,Sean Brown,LB,NC State,1,1,,?,1
seth mcgowan,Seth McGowan,RB,Kentucky,1,1,9.43,102,1
seydou traore,Seydou Traore,TE,Mississippi State,1,1,,?,1
shad banks jr.,Shad Banks Jr.,LB,UTSA,0,1,,?,1
shemar savage,Shemar Savage,WR,Jackson State,1,0,,,1
sheridan wilson,Sheridan Wilson,OC,Texas Tech,0,1,,?,1
shiyazh pete,Shiyazh Pete,OT,Kentucky,1,1,,286,1
shomari lawrence,Shomari Lawrence,HB,Missouri State,0,1,,?,1
shyheim brown,Shyheim Brown,S,Florida State,1,1,,?,1
sidney fugar,Sidney Fugar,OT,Baylor,1,1,,?,1
silas walters,Silas Walters,S,Miami (OH),1,1,,?,1
skyler bell,Skyler Bell,WR,Connecticut,1,1,9.66,116,1
skyler gill-howard,Skyler Gill-Howard,DT,Texas Tech,1,1,,154,1
skyler thomas,Skyler Thomas,S,Oregon State,1,1,,?,1
sonny styles,Sonny Styles,LB,Ohio State,1,1,9.99,1,1
spencer fano,Spencer Fano,OT,Utah,1,1,9.76,18,1
squirrel white,Squirrel White,WR,Florida State,1,1,,?,1
star thomas,Star Thomas,RB,Tennessee,1,1,,?,1
stephane voltaire,Stephane Voltaire,OT,Villanova,0,1,,218,1
stephen daley,Stephen Daley,ED,Indiana,0,1,,?,1
stephen hall,Stephen Hall,CB,Missouri,0,1,,?,1
t.j. harden,T.J. Harden,RB,SMU,1,0,,,1
t.j. parker,T.J. Parker,DE,Clemson,1,1,9.34,44,1
tacario davis,Tacario Davis,CB,Washington,1,1,9.76,231,1
tamon lynum,Tamon Lynum,CB,Pittsburgh,1,1,,?,1
tanner arkin,Tanner Arkin,TE,Illinois,0,1,,?,1
tanner koziol,Tanner Koziol,TE,Houston,1,1,9.72,162,1
taurean york,Taurean York,LB,Texas A&M,1,1,,185,1
tavian coleman,Tavian Coleman,DT,Colorado,1,1,,?,1
tay yanta,Tay Yanta,OC,North Texas,1,0,,,1
taylen green,Taylen Green,QB,Arkansas,1,1,9.99,177,1
ted hurst,Ted Hurst,WR,Georgia State,1,1,9.92,41,1
terion stewart,Terion Stewart,RB,Virginia Tech,1,1,,?,1
terrill davis,Terrill Davis,WR,Oklahoma State,0,1,,?,1
thaddeus dixon,Thaddeus Dixon,CB,North Carolina,1,1,,255,1
theran johnson,Theran Johnson,CB,Oregon,1,1,,?,1
tim keenan iii,Tim Keenan III,DT,Alabama,1,1,2.74,167,1
titan fleischmann,Titan Fleischmann,OT,Montana State,0,1,,?,1
tj ferguson,TJ Ferguson,OG,Syracuse,1,1,,?,1
tj guy,TJ Guy,ED,Michigan,1,1,,?,1
tj hall,TJ Hall,CB,Iowa,1,1,5.97,85,1
tj harden,TJ Harden,HB,SMU,0,1,,?,1
tj quinn,TJ Quinn,LB,Louisville,0,1,,?,1
toby payne,Toby Payne,TE,Marshall,0,1,,?,1
tomas rimac,Tomas Rimac,OG,Virginia Tech,1,1,,?,1
tommy castellanos,Tommy Castellanos,QB,Florida State,1,1,,?,1
tommy doman,Tommy Doman,P,Florida,1,0,,,1
tommy doman jr.,Tommy Doman Jr.,PK,Florida,1,0,,,1
tommy matheson,Tommy Matheson,OC,Boston College,1,0,,,1
tony grimes,Tony Grimes,CB,Purdue,1,0,,,1
toriano pride jr.,Toriano Pride Jr.,CB,Missouri,1,1,8.2,?,1
travali price,Travali Price,DT,NC State,1,0,,,1
travis burke,Travis Burke,OT,Memphis,1,1,9.09,?,1
travis shaw,Travis Shaw,DT,Texas,1,0,,,1
tre smith,Tre Smith,ED,Arizona,0,1,,?,1
tre williams,Tre Williams,DT,Michigan,1,0,,,1
trebor pena,Trebor Pena,WR,Penn State,0,1,,?,1
trent walker,Trent Walker,WR,Oregon State,0,1,,?,1
trevor brock,Trevor Brock,OT,Buffalo,0,1,,?,1
trey moore,Trey Moore,DE,Texas,1,1,8.7,?,1
trey smack,Trey Smack,PK,Florida,1,0,,,1
trey zuhn iii,Trey Zuhn III,OT,Texas A&M,1,1,,139,1
treydan stukes,Treydan Stukes,CB,Arizona,1,1,9.88,38,1
trinidad chambliss,Trinidad Chambliss,QB,Ole Miss,0,1,,94,1
tristan leigh,Tristan Leigh,OT,Clemson,1,1,,229,1
triston newson,Triston Newson,LB,Missouri,1,1,,?,1
ty buchanan,Ty Buchanan,OT,Arizona,0,1,,?,1
ty montgomery,Ty Montgomery,WR,John Carroll,0,1,,?,1
ty simpson,Ty Simpson,QB,Alabama,1,1,,36,1
tyler miller,Tyler Miller,OT,Iowa State,0,1,,?,1
tyler needham,Tyler Needham,OT,Rutgers,0,1,,?,1
tyler onyedim,Tyler Onyedim,DT,Texas A&M,1,1,,128,1
tyler van dyke,Tyler Van Dyke,QB,SMU,1,1,,?,1
tyre west,Tyre West,ED,Tennessee,1,1,,140,1
tyreak sapp,Tyreak Sapp,DE,Florida,1,1,,219,1
tyreek chappell,Tyreek Chappell,CB,Texas A&M,1,1,,?,1
tyren montgomery,Tyren Montgomery,WR,John Carroll,1,0,,,1
vincent anthony jr.,Vincent Anthony Jr.,DE,Duke,1,1,8.32,212,1
vinny anthony ii,Vinny Anthony II,WR,Wisconsin,1,1,7.55,?,1
virdel edwards ii,Virdel Edwards II,CB,Hawaii,1,0,,,1
vj payne,VJ Payne,SS,Kansas State,1,1,9.87,76,1
wade woodaz,Wade Woodaz,LB,Clemson,1,1,,?,1
walker eget,Walker Eget,QB,San José State,0,1,,?,1
walker parks,Walker Parks,OG,Clemson,1,1,,?,1
wendell moe jr.,Wendell Moe Jr.,OG,Tennessee,1,0,,,1
wesley bailey,Wesley Bailey,ED,Louisville,0,1,,?,1
wesley bissainthe,Wesley Bissainthe,LB,Miami,1,1,,?,1
wesley williams,Wesley Williams,DE,Duke,1,1,7.3,263,1
west weeks,West Weeks,LB,LSU,1,1,,?,1
weylin lapuaho,Weylin Lapuaho,G,BYU,0,1,,?,1
wilfredo aybar,Wilfredo Aybar,ED,Stanford,0,1,,?,1
will ferrin,Will Ferrin,K,BYU,1,0,,,1
will kacmarek,Will Kacmarek,TE,Ohio State,1,1,9.14,?,1
will lee iii,Will Lee III,CB,Texas A&M,1,1,9.46,99,1
will o'steen,Will O'Steen,OT,North Carolina,0,1,,?,1
will pauling,Will Pauling,WR,Notre Dame,1,0,,,1
william whitlow jr.,William Whitlow Jr.,ED,Memphis,1,0,,,1
wydett williams jr.,Wydett Williams Jr.,S,Ole Miss,1,1,,226,1
xavian sorey jr.,Xavian Sorey Jr.,LB,Arkansas,1,1,8.58,?,1
xavier nwankpa,Xavier Nwankpa,SS,Iowa,1,1,9.96,241,1
xavion alford,Xavion Alford,S,Arizona State,1,1,,?,1
yilanan ouattara,Yilanan Ouattara,DL,Vanderbilt,0,1,,?,1
zach barlev,Zach Barlev,OG,Old Dominion,1,0,,,1
zach calzada,Zach Calzada,QB,Kentucky,0,1,,?,1
zach palmer-smith,Zach Palmer-Smith,RB,Louisiana�Monroe,1,0,,,1
zachariah branch,Zachariah Branch,WR,Georgia,1,1,8.95,53,1
zakee wheatley,Zakee Wheatley,FS,Penn State,1,1,,114,1
zane durant,Zane Durant,DT,Penn State,1,1,9.2,190,1
zavion thomas,Zavion Thomas,WR,Louisiana State,1,1,9.03,161,1
zechariah poyser,Zechariah Poyser,S,Miami,0,1,,?,1
zen michalski,Zen Michalski,OT,Indiana,1,0,,,1
zion nelson,Zion Nelson,OT,SMU,0,1,,?,1
zion young,Zion Young,DE,Missouri,1,1,,56,1
zxavian harris,Zxavian Harris,DT,Mississippi,1,1,,222,1
